guid,entry name,English
549d628c-580f-45e0-acd3-aa8ca8923649,Item_IT_1,---
8d2dba3d-deb4-425d-9329-3f0d89cbfb51,Item_IT_EXP_1,---
bbf28943-461d-45a7-b621-508eec82cb54,Item_IT_2,Potion
883bcb29-3eaa-4c00-bbd5-2959b453858f,Item_IT_EXP_2,Restores a small amount of health.
a9fd4ceb-360c-44ed-a134-07e872dee9e5,Item_IT_3,Mega Potion
86bd7296-8dcf-42c2-b817-e04e9ef70a31,Item_IT_EXP_3,"Restores a moderate amount
of health."
63c5f2e9-5bb8-4e9e-86b7-70658d9ffbbb,Item_IT_4,Antidote
91fc3848-6889-45bf-b6f9-16e90995f97d,Item_IT_EXP_4,A cure for poison.
0df7df31-ef10-4c89-afca-9344809b346f,Item_IT_5,Max Potion
73cebd02-8407-4272-b187-2f85fe53748a,Item_IT_EXP_5,"Fully restores health and
temporarily maximizes the
size of your Health Gauge."
b2e18884-6699-4728-a10e-98bdc82c1808,Item_IT_6,Ancient Potion
e988f167-c305-44f0-9dd8-03f308cc53b8,Item_IT_EXP_6,"Fully restores health and
temporarily maximizes the size of
your Health and Stamina Gauges."
0b0279d4-6e8e-4e13-954f-438813b9732b,Item_IT_7,Nulberry
9e6fc9dc-9d9e-4b76-8c93-c408516ebae5,Item_IT_EXP_7,"A mysterious berry that cures various
blights."
718cf415-2a1d-4fd0-b549-64d4fbf9111c,Item_IT_8,Ration
a3fabf1e-86dc-4f93-8018-7f43ddb4ff08,Item_IT_EXP_8,"Food that restores a bit of stamina.
It can also be used on the Portable
BBQ Grill to have a meal."
a977c8e2-94be-4e32-992a-5d723dcaac5f,Item_IT_9,Well-done Steak
221cfb82-650e-4e9f-8c9b-0f3757be175b,Item_IT_EXP_9,"A hearty roast that restores health
and stamina and boosts both their
max gauges. So tasty!"
21c8efa7-0c4a-4251-8fab-1881cf5a30b2,Item_IT_10,Rare Steak
ad30b820-aff7-47f4-8b73-d45fd1ead763,Item_IT_EXP_10,"Restores health and stamina and
moderately increases the size
of your Health Gauge temporarily."
121b121f-0315-4b03-bbcd-a7a27cc5d999,Item_IT_12,Lifepowder
3a2dd110-eefd-4974-b74d-2e355810bf48,Item_IT_EXP_12,"Produces a cloud that heals
you and anyone nearby."
e1b45dfd-ddb1-4d11-a3b1-06a7f0e9838a,Item_IT_11,Burnt Meat
bc53de0a-c5f0-41af-92c8-264720cb5884,Item_IT_EXP_11,"Restores stamina, but it may
be a bit too charred to provide
any healing effects..."
c2d6dcc7-971a-4029-aac0-0ce6d38a2fb3,Item_IT_16,Flash Pod
6ebe5dea-f658-460b-a4d2-0565003de3ea,Item_IT_EXP_16,"Slinger ammo that causes a violent
flash on impact. Will temporarily blind
monsters if used in front of them."
837a93b9-3e55-493c-9e78-8a836f5dd4f5,Item_IT_70,Screamer Pod
38d39acc-0f0d-4d48-b2c3-46efa9510d90,Item_IT_EXP_70,"Slinger ammo that emits a harsh,
high-frequency sound that can
disrupt sensitive monsters."
ccce82b0-ad99-4ac4-a6ba-f79c67a12c4e,Item_IT_71,Bleeding Pod
4cb72843-385e-42dc-a003-9f6e410e3305,Item_IT_EXP_71,"Slinger ammo that can be used
to inflict massive damage on
monster wounds."
d1b25173-f107-4389-baa2-80251c31746e,Item_IT_72,Dung Pod
18b0500a-2fbd-4d3f-b6ed-7cbd3a16d414,Item_IT_EXP_72,"Slinger ammo that releases a
strong odor on impact. Causes
certain monsters to flee."
d467736a-c532-43ab-b459-65728b01ef2f,Item_IT_26,Herb
46bc1d58-5464-4d2f-8a46-28b666db36a3,Item_IT_EXP_26,A primary ingredient in potions.
b35b3c29-b8a0-4b6f-aa64-7206f981b0da,Item_IT_15,Large Barrel Bomb
378c0e50-0e54-40d9-9ca6-1f6b0d256250,Item_IT_EXP_15,"A bomb that can be rolled after
placing it on the ground. Strike
it to trigger a powerful blast."
add0e312-6927-41c6-9f90-05b5467f0a1a,Item_IT_14,Barrel Bomb
9658f015-2372-4921-be9e-96dde207d1ce,Item_IT_EXP_14,A small time bomb.
b44c1fba-3f2a-4022-a6bc-29be8b077e86,Item_IT_13,Raw Meat
9d6d7370-6bb0-445f-85ef-bac00cdc40d5,Item_IT_EXP_13,"Meat carved from a monster.
Can be cooked, combined, 
or used to set a trap."
b0d38ae7-dd58-4d02-9f1e-d3174b30f385,Item_IT_17,Stone
68e40b71-fa44-4f83-b8ef-73f7678016e9,Item_IT_EXP_17,"Slinger ammo that can be used to
hit faraway plant life and bombs."
39ae9935-d12b-48e2-99d8-b750325a782f,Item_IT_69,Burst Pod
5a89cb7c-4388-4fdc-93e4-1f27f50c2fa5,Item_IT_EXP_69,"Slinger ammo that detonates on
impact. Use it to stagger a monster
when you're in a pinch."
60eefb5d-32cd-4a27-84dc-a0eaa166468e,Item_IT_52,Thorngrass Pod
d7b1e766-c4d1-4f34-8510-c240f1bc2ec8,Item_IT_EXP_52,"Slinger ammo that lodges into
a target. Attacking where it's
lodged deals extra damage."
aa131f32-3d4f-4a72-b3fa-1db2f382fcaa,Item_IT_21,Whetstone
e9dbc3ad-b676-4564-8aee-092302ccb580,Item_IT_EXP_21,"A standard-sized whetstone. Use it
to restore a weapon's sharpness."
fd4349ea-585c-4c99-847b-3bb2d14d5ccf,Item_IT_20,Shock Trap
ebbf7d1f-f779-432c-8941-2c71e66844b0,Item_IT_EXP_20,"A trap that immobilizes a target.
Use it to capture monsters."
8db49fad-bd27-4b48-8398-f6ef1010173b,Item_IT_77,Farcaster
cedd8420-18f4-4551-afed-520632a115b8,Item_IT_EXP_77,"Call for a wingdrake to transport
you to the nearest camp. Can
also be used during combat."
eebc9ff9-4eef-4386-9ff8-176b3d952232,Item_IT_23,Binoculars
010db7b4-0502-485a-99d1-5e9f047641bd,Item_IT_EXP_23,"A tool that magnifies distant
objects and lets you learn more
about them."
dd27559e-5b5b-45bf-a42e-cbd88dce3584,Item_IT_24,Camping Kit
220ced37-ca72-4898-8b9b-ba0b0abe0edb,Item_IT_EXP_24,"A kit with all the tools to make
camp. Use to set up and edit Pop-up
Camps in available campsites."
863bc3db-d7c7-4d9e-9c59-aaab83bf36ca,Item_IT_25,Portable BBQ Grill
10bc6d23-ea7a-438d-9c0b-2afd6a5808a0,Item_IT_EXP_25,"A portable BBQ grill that can be
used for grilling up raw meat and
other ingredients."
73e36e4a-2ab1-492f-9789-1dab22ac42b2,Item_IT_27,Antidote Herb
da256c61-9417-4d5a-8f0e-091788b26ee9,Item_IT_EXP_27,"A primary ingredient in
antidotes."
aad2090e-d957-493f-b726-41d3701cdd54,Item_IT_76,Ivy
